relative_path,lfs_oid_sha256,expected_size_bytes,downloaded_bytes,sha256_verified,skipped_existing,error
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,26a1ee080da4db98e175e15d6fec631e6f8c285c13817d9d74ecc90ed280d103,19798721,19798721,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,ecf977cb798082d59ad1b03ce5631a61dbf525dfe484eb005ca630b5e95b86af,22507823,22507823,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,e79a2eea18143b825438f9a11c7d724a97c9e18329776defd4d9291d03d4aaca,9631499,9631499,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,29e92ed9bcb2d711e651246675c435b3f9499c040cfcad367624e8720c0dc891,10967129,10967129,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,8f48d68ef4ab225c8381af6fb8ec0f36fe6f6048977eeebecc74cfec50d13cb8,17469302,17469302,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,0514c4dd38fe24dd7e196ee206b880f4ccd984a255b80e6de984839bce40952c,20091681,20091681,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,b9e45dc8d856271f0a69030b7dd98f32c6b6b88b627138d67e8d3a1b7c5329fe,4580130,4580130,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,1cac1c8045c4f85423f01425881dd7e6814ae167100590c988a5ef141eb9e73f,5286764,5286764,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,19447009a96bd80bb896f3a728283ae2990d94b4cf1ed37f69866ed78ca36901,1253565,1253565,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,d44d29d46b7c46c574cdc90d5633cc90ac1b9cee57fb7f6b90d865aecc14ff64,1464196,1464196,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,b87fa6978d7d50087ca63bfee5230692013485aaccef5474dbc847a9c1498739,6881631,6881631,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,d7a98f02899d331265eb0b892e44d343892ad6ec9dcb1e90ce6c6f80b264c0f3,7976092,7976092,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,a2bb1e1eb28d111f84963240c54b790f32366f6c5b09dff1713770b52d3f5616,17574514,17574514,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/V-S4.csv,8a83103ce0f0b03ffc5adc772193c6738d1df3ac8f0fb4bab055597ac5bcd2c2,20164189,20164189,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,7f46f770cd49c85185446420bc10db9e7a9ffe4aa190e3b1cc1111220eab04b2,2134667,2134667,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/V-Vfa01.csv,81ad22765340419e1ea88e69e2a92dc38c260f244c5aeb951c88fb668908ad37,2398099,2398099,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,ec666af90866254a55578f4e9371860b64602cad0694b02defcc56eec5d85a44,12603657,12603657,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/V-Vfa02.csv,bce837348c306ba343b36f2d44878f0ac1e68ada3c2852bba50056749f40ca7d,13955001,13955001,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/S-Vta1a.csv,19b9d26888e58c71e28ca6de34dd423e9a779a29b1cf0976d3b2f4f7dac56601,4766740,4766740,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/V-Vta1a.csv,9522a6f43094ef5de4cfad4bb48a7805c8f470eee3b481564f5cacef28e2afec,5444513,5444513,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/S-Vta1b.csv,aca49109fc93729d942d13e2008699ac4471fcffae38396127fffaecbe42d5d7,178260,178260,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,35b4e74bd1597d9f82895c3451dbe71a2d4084a3718cbdf8ea7fbb04f206db94,205277,205277,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/S-Vta2.csv,97ef388d6e5cc3ce17ae3d56d69c77052e5d51a6234176eb95a5e4de6cec7fe5,2038713,2038713,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/V-vta2.csv,e7d255100464c70212aa0129e558b7a48d59d606041c8ce2e160e881f9b151e2,2307461,2307461,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/S-Vta3.csv,7c5479fc893131a8c4d75daf73c3b5ae25512a1e194a6ced50fa24633de0f215,116809,116809,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/V-vta3.csv,ef8bf81fdf5df786006e5805dbe09c29c71447cd274991bf47371c28c0f3c19f,137891,137891,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/S-Vta4.csv,0d16cd6deaddf30a98461a546ce47621f4b57fa3fd902623765bad1dd83c0887,331302,331302,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/V-vta4.csv,71acb4e5c50919df05f1f56a0192d392793e9b10e66bbf6a101b6314ee398c33,380874,380874,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/S-Vta5.csv,b9030167541be560621a7aa9ef6a89710cb666ec47ad204f65cb1d96f7606fa0,57485,57485,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/V-vta5.csv,6819d97f1291b377496982e51f5ba2178a083edaf8664b9258ead5e1151d33a2,66401,66401,True,False,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/S-Vta6.csv,15ad54e093b7ff783a88db02952fe634ba5b640173c93462d28152f71dcfa8a5,254665,254665,True,False,
