sha256,copy_count,relative_path,is_canonical,duplicate_index
00e8dc12482919e0cfc43218275390f295c3f3b75e34ebeef0ade8b4809a3f5a,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb12/S-Vtb12.csv,True,0
00e8dc12482919e0cfc43218275390f295c3f3b75e34ebeef0ade8b4809a3f5a,2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb12.csv,False,1
031765759d3336fa67fd8c6b98fdfb3a5786d284a5626734375ec61fe8f63e4d,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/V-vta7.csv,True,0
031765759d3336fa67fd8c6b98fdfb3a5786d284a5626734375ec61fe8f63e4d,2,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta7.csv,False,1
0514c4dd38fe24dd7e196ee206b880f4ccd984a255b80e6de984839bce40952c,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,True,0
0514c4dd38fe24dd7e196ee206b880f4ccd984a255b80e6de984839bce40952c,2,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S2.csv,False,1
0750e1ddccb84440e4984f308872a2ff20c64019b64e27815d79496a7e6dbce6,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw05/S-Vw5.csv,True,0
0750e1ddccb84440e4984f308872a2ff20c64019b64e27815d79496a7e6dbce6,2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw5.csv,False,1
07cc3f87b51c3e68cdf517cb296e68bf0d17f49230baa724bbe96736af2c9da3,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/V-vta16.csv,True,0
07cc3f87b51c3e68cdf517cb296e68bf0d17f49230baa724bbe96736af2c9da3,2,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta16.csv,False,1
09c317c6e7e3b8534459610c7b47a23787563febc6fdeae015f04f037737a878,2,Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vf (Driver E)/V-Vfb02g/V-Vfb02g.csv,True,0
09c317c6e7e3b8534459610c7b47a23787563febc6fdeae015f04f037737a878,2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/V-Dataset/V-Vfb02g.csv,False,1
0a9dcbe6816e28e6c663f1b90668d37e024f314ee9bc91a674d49eb28b7fb01c,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb09/S-Vtb9.csv,True,0
0a9dcbe6816e28e6c663f1b90668d37e024f314ee9bc91a674d49eb28b7fb01c,2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb9.csv,False,1
0b08f02c7568c47b79ae137f9811b6bead3d1550e60a0be496f7430b0fbb49de,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw08/V-Vw8.csv,True,0
0b08f02c7568c47b79ae137f9811b6bead3d1550e60a0be496f7430b0fbb49de,2,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vw8.csv,False,1
0b92aa13c01d1436e10a3b3272a8649e6639630f72d3e2b3c618ae2957a97989,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw16a/V-Vw16a.csv,True,0
0b92aa13c01d1436e10a3b3272a8649e6639630f72d3e2b3c618ae2957a97989,2,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vw16a.csv,False,1
0d16cd6deaddf30a98461a546ce47621f4b57fa3fd902623765bad1dd83c0887,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/S-Vta4.csv,True,0
0d16cd6deaddf30a98461a546ce47621f4b57fa3fd902623765bad1dd83c0887,2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta4.csv,False,1
0d79ef3cd96f48b611e5da7dd14f4cb6ed0f1f747d247d26847918545440b9d3,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw04/S-Vw4.csv,True,0
0d79ef3cd96f48b611e5da7dd14f4cb6ed0f1f747d247d26847918545440b9d3,2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw4.csv,False,1
0f11eea4a2c183a7bae05c0cc6f795d4344c2bbf621010129de8584747db93b2,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb08/V-vtb8.csv,True,0
0f11eea4a2c183a7bae05c0cc6f795d4344c2bbf621010129de8584747db93b2,2,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb8.csv,False,1
0f372c0946092966eba77bcdaf6bb3ebf6b15c60a6ed2f290e4426f61466135b,2,Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vta (Driver E)/Vta06/V-Vta6.csv,True,0
0f372c0946092966eba77bcdaf6bb3ebf6b15c60a6ed2f290e4426f61466135b,2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/V-Dataset/V-Vta6.csv,False,1
125a3ab348bca6b5d9fb2d52b7ba1f27d4a31f03b7b60b16ef778f7935bb4380,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw01/V-Vw1.csv,True,0
125a3ab348bca6b5d9fb2d52b7ba1f27d4a31f03b7b60b16ef778f7935bb4380,2,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vw1.csv,False,1
12f6c6a3f00af8e2e5f9cdb368f5952e32986dfd437707b83fd6890893458aa8,2,Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vta (Driver E)/Vta21/V-Vta21.csv,True,0
12f6c6a3f00af8e2e5f9cdb368f5952e32986dfd437707b83fd6890893458aa8,2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/V-Dataset/V-Vta21.csv,False,1
150b73335a4283e2aba5aa8c5320d32271bf20546005e7f5f60918d8381f5475,2,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/S-Vta9.csv,True,0
