session_id,stream,relative_path,total_rows,rows_with_fix,availability_fraction,has_gnss_fields,has_accuracy_field,mean_accuracy_m,worst_accuracy_m,outage_count,total_outage_s,longest_outage_s,documented_outages_found,position_update_rate_hz,position_update_count,median_update_interval_s,p90_update_interval_s,max_update_interval_s,position_hold_count,longest_position_hold_s,evidence,note
M,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,105974,105974,1.0,True,True,3.1833392620548433,13.617527,0,0.0,0.0,False,0.17766769262967583,1091,9.0,9.099999999999909,130.0,9,130.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
M,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,105974,105974,1.0,True,False,,,0,0.0,0.0,False,9.584512890197413,101570,0.09999999999854481,0.10000000000582077,2.6000000000058208,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S1,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,51746,51746,1.0,True,True,2.8789278398330307,32.0,0,0.0,0.0,False,0.10278745644599302,532,9.0,9.09900000000016,70.0010000000002,5,70.0010000000002,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S1,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,51746,51746,1.0,True,False,,,0,0.0,0.0,False,9.563049570006765,49485,0.09999999999854481,0.10000000000582077,2.0,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,93876,93876,1.0,True,True,3.0165644041075463,8.0,0,0.0,0.0,False,0.10229956359441489,941,9.0,9.100000000000364,146.0,10,146.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S2,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,93876,93876,1.0,True,False,,,0,0.0,0.0,False,9.546631158455392,89620,0.09999999999854481,0.10000000000582077,2.8999999999941792,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S3A,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,24621,24621,1.0,True,True,3.6149222208683645,8.0,0,0.0,0.0,False,0.10309702652690567,254,9.0,9.001000000000204,65.0,3,65.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S3A,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,24621,24621,1.0,True,False,,,0,0.0,0.0,False,9.614541023558083,23672,0.10000000000582077,0.10000000000582077,1.5,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S3B,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,6813,6813,1.0,True,True,3.618963745780126,6.0,0,0.0,0.0,False,,74,9.0,9.100000000000017,11.000999999999749,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S3B,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,6813,6813,1.0,True,False,,,0,0.0,0.0,False,9.655020551967159,6578,0.10000000000582077,0.10000000000582077,0.5,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S3C,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,37183,37183,1.0,True,True,4.284538633246376,24.0,0,0.0,0.0,False,0.10512132213512726,391,9.0,9.098999999999705,60.00099999999975,5,60.00099999999975,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S3C,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,37183,37183,1.0,True,False,,,0,0.0,0.0,False,9.74692055295574,36242,0.10000000000582077,0.10000000000582077,10.80000000000291,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,94600,94600,1.0,True,True,3.144048625792812,24.0,0,0.0,0.0,False,2.6472854660900076,932,9.0,9.001000000000204,332.0,13,332.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
S4,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/V-S4.csv,94600,94600,1.0,True,False,,,0,0.0,0.0,False,9.20939967652935,87121,0.09999999999854481,0.10000000000582077,2.1000000000058208,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VFA01,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,11486,11486,1.0,True,True,4.363485982935748,8.0,0,0.0,0.0,False,0.10693302924618349,123,9.0,9.002000000000006,34.0,1,34.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VFA01,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/V-Vfa01.csv,11535,11535,1.0,True,False,,,0,0.0,0.0,False,9.736431420149112,11231,0.09999999999854481,0.10000000000582077,1.6999999999970896,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VFA02,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,67523,67523,1.0,True,True,4.256594049435007,8.0,0,0.0,0.0,False,0.11055945008381621,747,9.0,9.001000000000204,20.0,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VFA02,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/V-Vfa02.csv,67755,67755,1.0,True,False,,,0,0.0,0.0,False,9.952622723381642,67434,0.09999999999854481,0.10000000000582077,0.9000000000014552,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA1A,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/S-Vta1a.csv,25676,25676,1.0,True,True,4.4723087708365785,12.0,0,0.0,0.0,False,0.9813003651730696,2520,1.0,1.0010000000000048,36.0,1,36.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA1A,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/V-Vta1a.csv,25676,25676,1.0,True,False,,,0,0.0,0.0,False,9.99493670886076,25663,0.09999999999854481,0.10000000000582077,0.5,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA1B,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/S-Vta1b.csv,954,954,1.0,True,True,4.9958071278826,6.0,0,0.0,0.0,False,0.9905163329820854,95,1.0,1.0010000000002037,2.0,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA1B,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,953,953,1.0,True,False,,,0,0.0,0.0,False,10.000000000000306,953,0.09999999999854481,0.10000000000582077,0.10000000000582077,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/S-Vta2.csv,10991,10991,1.0,True,True,4.47056682740424,8.0,0,0.0,0.0,False,0.9323983804367858,1023,1.0,1.0010000000002037,45.0,1,45.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA2,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/V-vta2.csv,10991,10991,1.0,True,False,,,0,0.0,0.0,False,9.834394904458598,10809,0.09999999999854481,0.10000000000582077,1.1999999999970896,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA3,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/S-Vta3.csv,645,645,1.0,True,True,4.62015503875969,6.0,0,0.0,0.0,False,0.07766990291262135,5,9.0,19.85,24.5,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA3,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/V-vta3.csv,645,645,1.0,True,False,,,0,0.0,0.0,False,9.968944099378657,643,0.09999999999854481,0.10000000000582077,0.3000000000029104,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/S-Vta4.csv,1789,1789,1.0,True,True,4.279485746226943,6.0,0,0.0,0.0,False,0.11236018179877415,21,9.0,9.001000000000005,9.002999999999986,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA4,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/V-vta4.csv,1789,1789,1.0,True,False,,,0,0.0,0.0,False,9.999999999999837,1789,0.09999999999854481,0.10000000000582077,0.10000000000582077,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA5,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/S-Vta5.csv,307,307,1.0,True,True,4.0,4.0,0,0.0,0.0,False,0.1111111111111111,4,9.0,9.00079999999998,9.000999999999976,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA5,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/V-vta5.csv,307,307,1.0,True,False,,,0,0.0,0.0,False,10.000000000000476,307,0.09999999999854481,0.10000000000582077,0.10000000000582077,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA6,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/S-Vta6.csv,1376,1376,1.0,True,True,4.3270348837209305,6.0,0,0.0,0.0,False,0.11244377811094455,16,9.0,9.000999999999976,9.00200000000001,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA6,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/V-vta6.csv,1376,1376,1.0,True,False,,,0,0.0,0.0,False,10.0,1376,0.09999999999854481,0.10000000000582077,0.10000000000582077,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA7,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/S-Vta7.csv,840,840,1.0,True,True,4.285714285714286,6.0,0,0.0,0.0,False,0.11235814783835409,10,9.0,9.00020000000004,9.000999999999976,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA7,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/V-vta7.csv,840,840,1.0,True,False,,,0,0.0,0.0,False,9.999999999999826,840,0.09999999999854481,0.10000000000582077,0.10000000000582077,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA8,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/S-Vta8.csv,3676,3676,1.0,True,True,3.5484221980413495,6.0,0,0.0,0.0,False,0.08886420438767009,33,9.0,9.000999999999976,82.00199999999995,1,82.00199999999995,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA8,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/V-vta8.csv,3676,3676,1.0,True,False,,,0,0.0,0.0,False,9.034013605442176,3321,0.09999999999854481,0.10000000000582077,1.7999999999956344,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA9,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/S-Vta9.csv,156,156,1.0,True,True,5.153846153846154,6.0,0,0.0,0.0,False,0.11112345816201771,2,8.999000000000024,8.999000000000024,8.999000000000024,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA9,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/V-vta9.csv,156,156,1.0,True,False,,,0,0.0,0.0,False,10.0,156,0.09999999999854481,0.10000000000582077,0.10000000000582077,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA10,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/S-Vta10.csv,1502,1502,1.0,True,True,3.719041278295606,4.0,0,0.0,0.0,False,0.1111111111111112,17,9.0,9.000999999999976,9.00100000000009,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA10,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/V-vta10.csv,1502,1502,1.0,True,False,,,0,0.0,0.0,False,10.000000000000098,1502,0.09999999999854481,0.10000000000582077,0.10000000000582077,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA11,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/S-Vta11.csv,510,510,1.0,True,True,4.235294117647059,6.0,0,0.0,0.0,False,0.1111111111111111,6,9.0,9.000599999999986,9.000999999999976,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA11,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/V-vta11.csv,510,510,1.0,True,False,,,0,0.0,0.0,False,9.999999999999714,510,0.09999999999854481,0.10000000000582077,0.10000000000582077,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA12,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/S-Vta12.csv,610,610,1.0,True,True,3.737704918032787,4.0,0,0.0,0.0,False,0.1111111111111111,7,9.0,9.0,9.0,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA12,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/V-vta12.csv,610,610,1.0,True,False,,,0,0.0,0.0,False,9.99999999999976,610,0.09999999999854481,0.10000000000582077,0.10000000000582077,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA13,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/S-Vta13.csv,404,404,1.0,True,True,3.0024752475247523,4.0,0,0.0,0.0,False,0.1385003185507331,6,9.0,9.000599999999986,9.000999999999976,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA13,vehicle,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/V-vta13.csv,404,404,1.0,True,False,,,0,0.0,0.0,False,10.000000000001084,404,0.09999999999854481,0.10000000000582077,0.10000000000582077,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
VTA14,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/S-Vta14.csv,2885,2885,1.0,True,True,5.158752166377816,8.0,0,0.0,0.0,False,0.11114970475859678,33,9.0,9.000999999999976,9.001999999999953,0,0.0,VERIFIED_FROM_FILE,no GNSS gaps at or above the minimum duration threshold
