source_file,stream,row_count,rows_with_fix,availability_fraction,position_update_count,median_update_interval_s,p90_update_interval_s,max_update_interval_s,measured_update_rate_hz,stale_threshold_s,stale_rows,stale_fraction,max_stale_duration_s,confirmed_outages
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,smartphone,105974,105974,1.0,1091,9.0,9.09999966621399,130.0,0.10319112397029824,18.0,4382,0.04134976503670712,129.90000009536743,0
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,vehicle,105974,105974,1.0,101570,0.09999999999854481,0.10000000000582077,2.6000000000058208,9.584512890197413,1.0,59,0.0005567403325343952,2.5,0
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,smartphone,51746,51746,1.0,532,9.0,9.098999738693237,70.00099992752075,0.10278745644599303,18.0,2029,0.039210760252000154,69.90100026130676,0
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,vehicle,51746,51746,1.0,49485,0.09999999999854481,0.10000000000582077,2.0,9.563049570006765,1.0,36,0.0006957059482858578,1.9000000000014552,0
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,smartphone,93876,93876,1.0,941,9.0,9.100000143051147,146.0,0.10025373794343848,18.0,6162,0.06563978013549789,145.90000009536743,0
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,vehicle,93876,93876,1.0,89620,0.09999999999854481,0.10000000000582077,2.8999999999941792,9.546631158455392,1.0,188,0.002002641782777281,2.7999999999956344,0
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,smartphone,24621,24621,1.0,254,9.0,9.001000165939331,65.0,0.10309702653387709,18.0,1087,0.044149303440152714,64.9009997844696,0
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,vehicle,24621,24621,1.0,23672,0.10000000000582077,0.10000000000582077,1.5,9.614541023558083,1.0,5,0.00020307867267779537,1.4000000000087311,0
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,smartphone,6813,6813,1.0,74,9.0,9.100800037384033,33.026999711990356,0.1065649871436035,18.0,106,0.015558491119917804,32.92699980735779,0
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,vehicle,6813,6813,1.0,6578,0.10000000000582077,0.10000000000582077,0.5,9.655020551967159,1.0,0,0.0,0.40000000000873115,0
