session_id,stream,relative_path,start_time_s,end_time_s,duration_s,start_index,end_index,source,confidence,evidence
M,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,992.1270000000001,1033.128,41.00099999999986,9879,10289,observed_position_hold,observed_high,VERIFIED_FROM_FILE
M,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,3098.128,3228.128,130.0,30939,32239,observed_position_hold,observed_high,VERIFIED_FROM_FILE
M,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,4083.228,4154.227,70.9989999999998,40790,41500,observed_position_hold,observed_high,VERIFIED_FROM_FILE
M,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,4232.227,4264.127,31.900000000000546,42280,42599,observed_position_hold,observed_high,VERIFIED_FROM_FILE
M,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,378.31,410.312,32.00200000000001,48009,48329,observed_position_hold,observed_high,VERIFIED_FROM_FILE
M,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,1746.276,1792.275,45.999000000000024,61676,62136,observed_position_hold,observed_high,VERIFIED_FROM_FILE
M,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,2640.276,2679.275,38.99900000000025,70616,71006,observed_position_hold,observed_high,VERIFIED_FROM_FILE
M,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,3287.275,3317.2760000000003,30.001000000000204,77086,77386,observed_position_hold,observed_high,VERIFIED_FROM_FILE
M,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,5533.275000000001,5577.276,44.000999999999294,99546,99986,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S1,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,11.922,55.822,43.900000000000006,90,529,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S1,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,4245.921,4315.9220000000005,70.0010000000002,42430,43130,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S1,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,4622.9220000000005,4675.9220000000005,53.0,46200,46730,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S1,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,4808.9220000000005,4859.9220000000005,51.0,48060,48570,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S1,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,5029.921,5059.9220000000005,30.001000000000204,50270,50570,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,100.71000000000001,246.71,146.0,2871,4331,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,1159.71,1243.711,84.00099999999998,13461,14301,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,2483.71,2520.71,37.0,26701,27071,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,2666.7110000000002,2773.71,106.9989999999998,28531,29601,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,2908.812,2940.71,31.89800000000014,30952,31271,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,3167.7090000000003,3205.71,38.00099999999975,33541,33921,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,3343.71,3394.7110000000002,51.001000000000204,35301,35811,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,3793.811,3877.71,83.89899999999989,39802,40641,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,4057.71,4091.71,34.0,42441,42781,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S2,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,7112.81,7224.709,111.89899999999943,72992,74111,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S3A,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,322.321,364.32,41.99899999999997,2910,3330,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S3A,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,1357.32,1422.32,65.0,13260,13910,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S3A,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,1508.32,1550.32,42.0,14770,15190,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S3C,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,503.407,540.307,36.900000000000034,270,639,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S3C,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,1362.407,1395.407,33.0,8860,9190,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S3C,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,2484.408,2542.407,57.99900000000025,20080,20660,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S3C,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,2578.407,2618.408,40.00099999999975,21020,21420,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S3C,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,3982.407,4042.408,60.00099999999975,35060,35660,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,72.428,113.428,41.0,640,1050,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,809.429,839.429,30.0,8010,8310,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,1136.429,1178.429,42.0,11280,11700,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,1389.428,1482.428,93.0,13810,14740,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,2906.529,2957.429,50.90000000000009,28981,29490,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,10.409,342.409,332.0,35290,38610,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,342.409,433.41,91.00100000000003,38610,39520,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,433.41,503.41,70.0,39520,40220,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,1721.409,1759.41,38.000999999999976,52400,52780,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,1884.41,1961.409,76.99900000000002,54030,54800,observed_position_hold,observed_high,VERIFIED_FROM_FILE
S4,smartphone,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,2553.409,2589.409,36.0,60720,61080,observed_position_hold,observed_high,VERIFIED_FROM_FILE
