relative_path,column,semantic_role,total_rows,missing_rows,missing_percentage,non_numeric_rows,is_constant,kind
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GPS LATITUDE,gnss_latitude,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GPS LONGITUDE,gnss_longitude,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GPS ALTITUDE,gnss_altitude,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GPS SPEED,gnss_speed,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GPS ACCURACY,gnss_accuracy,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GPS ORIENTATION,gnss_heading,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GPS SATELLITES IN RANGE,gnss_satellites,105974,0,0.0,105974,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,TIME SINCE START,time_since_start_ms,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,DATE,datetime_string,105974,0,0.0,105974,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,ACCELEROMETER X,accel_x,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,ACCELEROMETER Y,accel_y,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,ACCELEROMETER Z,accel_z,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GRAVITY X,gravity_x,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GRAVITY Y,gravity_y,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GRAVITY Z,gravity_z,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GYROSCOPE Yaw,gyro_yaw,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GYROSCOPE Pitch,gyro_pitch,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,GYROSCOPE Roll,gyro_roll,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,MAGNETIC FIELD X,mag_x,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,MAGNETIC FIELD Y,mag_y,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,MAGNETIC FIELD Z,mag_z,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,ORIENTATION (Yaw),orientation_yaw,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,ORIENTATION (Pitch),orientation_pitch,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,ORIENTATION (Roll ),orientation_roll,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,No of GPS Satellites Available,gnss_satellites,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,Time Since Start of Day,time_of_day_s,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,Latitude,gnss_latitude,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,Longitude,gnss_longitude,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,Velocity,velocity,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,Heading,heading,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,Height,altitude,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,Vertical velocity,vertical_velocity,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,Sample period,sample_period_s,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,Steering Angle,steering_angle,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,Wheel Speed Front Left,wheel_speed_fl,105974,0,0.0,0,False,exact
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,Wheel Speed Front Right,wheel_speed_fr,105974,0,0.0,0,False,exact
