segment_id,session_id,source_file,sample_count,duration_s,alignment_status,alignment_confidence,alignment_available,heading_observed,stationary_fraction,gyro_bias_magnitude_rps,accel_bias_magnitude_mps2,seconds_per_sample,error,final_speed_mps,max_speed_mps,path_length_m,integrated_steps,skipped_steps,irregular_steps,lag_s,lag_accepted,zero_lag_speed_rmse_mps,best_lag_speed_rmse_mps,zero_lag_position_rmse_m,best_lag_position_rmse_m,final_horizontal_error_m,position_drift_mps,yaw_offset_removed_deg
02929be6c896:000,VTA24,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta24.csv,1171,117.001,SUCCESS,0.4199,True,True,0.0393,0.004498,0.034727,5.371878735830866e-05,,80.943,80.943,2889.7,1170,0,0,0.0,False,28.695,28.695,734.4,734.4,1695.0,14.4874,
049ad3efce5a:000,VW5,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw5.csv,1012,101.101,SUCCESS,0.1096,True,True,0.0188,0.02061,0.041003,5.4788932807834655e-05,,207.694,207.694,10484.5,1011,0,0,0.0,False,117.058,117.058,2619.2,2619.2,6582.1,65.1043,
04b0ee07c4e4:000,VTA13,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta13.csv,404,40.301,INSUFFICIENT_MOTION,0.0,False,True,0.0,0.0,0.0,9.56336633601378e-05,,23.494,42.979,776.0,403,0,0,12.0,True,18.45,5.09,592.9,795.7,1030.2,25.5624,
06ad03911f2d:000,VTB2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb2.csv,5712,571.1,SUCCESS,0.1922,True,False,0.1029,0.005676,0.046285,4.3004744398245895e-05,,392.631,392.635,155147.8,5711,0,0,0.0,False,289.489,289.489,40700.6,40700.6,60925.6,106.6811,-23.71
07a93fc8421c:000,VW3,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw3.csv,3861,386.001,SUCCESS,0.0821,True,True,0.0404,0.007446,0.046794,4.34121989145874e-05,,515.829,562.287,123768.9,3860,0,0,0.0,False,362.828,362.828,33445.0,33445.0,70603.0,182.9088,
090a788528ac:000,I,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-I.csv,5800,579.9,INSUFFICIENT_MOTION,0.0,False,True,0.9997,0.005561,0.055351,3.014920689597132e-05,,12.658,12.658,1061.0,3510,2289,571,0.0,False,0.788,0.788,46.9,46.9,57.2,0.0987,
0be63d31a967:000,VW14B,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw14b.csv,19588,1958.701,SUCCESS,0.2382,True,False,0.0,0.0,0.0,5.536269144352898e-05,,490.858,491.574,548833.1,19587,0,0,0.0,False,309.392,309.392,69637.5,69637.5,160169.8,81.7735,164.54
0db4f806fa68:000,VW14B,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw14b.csv,19588,1958.701,SUCCESS,0.2382,True,False,0.0,0.0,0.0,4.951692873219486e-05,,490.858,491.574,548833.1,19587,0,0,0.0,False,309.456,309.456,69637.5,69637.5,160169.8,81.7735,164.54
0e1987018484:000,VTA24,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta24.csv,1171,117.001,SUCCESS,0.3923,True,True,0.0393,0.004498,0.034727,5.202826643784162e-05,,80.791,80.791,2874.3,1170,0,0,0.0,False,28.735,28.735,723.2,723.2,1674.9,14.3157,
1048727c0ca2:000,VTB4,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb4.csv,556,55.5,INSUFFICIENT_MOTION,0.0,False,False,0.0881,0.005975,0.032588,6.278884890673535e-05,,66.884,76.786,2825.3,555,0,0,6.6,True,51.219,47.952,271.4,250.3,238.5,4.2975,-24.51
159116d1f4d5:000,VTA27,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta27.csv,2540,253.9,SUCCESS,0.2327,True,True,0.102,0.002329,0.041523,4.516366142073763e-05,,277.264,289.825,40921.2,2539,0,0,0.0,False,182.194,182.194,16072.7,16072.7,34895.5,137.4381,
1802cbfa0458:000,VTA10,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta10.csv,1502,150.1,SUCCESS,0.1724,True,True,0.0,0.0,0.0,5.211031957115289e-05,,125.5,150.018,14747.9,1501,0,0,-5.8,True,87.571,89.066,8518.9,9054.2,16924.9,112.7577,
19e3c80523ef:000,S3B,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-S3b.csv,6813,685.528,SUCCESS,0.0117,True,False,0.1017,0.006297,0.025783,4.464610303884653e-05,,552.454,566.059,268275.2,6811,1,0,0.0,False,413.176,413.176,64630.4,64630.4,128705.8,187.7469,-68.05
1a9d760bc7d2:000,VW9,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw9.csv,552,55.101,INSUFFICIENT_MOTION,0.0,False,True,0.0,0.0,0.0,5.9573007250867746e-05,,29.918,50.701,1488.8,551,0,0,11.4,True,29.47,28.018,368.3,205.8,498.5,9.047,
1deac04dc111:000,VTA6,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta6.csv,1376,137.5,SUCCESS,0.1426,True,True,0.0,0.0,0.0,4.985174418411483e-05,,96.989,96.989,7382.2,1375,0,0,0.0,False,40.186,40.186,4593.6,4593.6,8510.4,61.894,
1fd3d11e1b31:000,A10,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A10.csv,8886,4442.5,SUCCESS,0.5106,True,False,0.0856,0.003429,0.050355,3.651926626236248e-05,,92.426,93.516,195386.9,7099,1786,0,0.0,False,51.404,51.404,17975.8,17975.8,38196.7,8.598,126.87
2053e5e5c9a7:000,VTA20,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta20.csv,3223,322.2,SUCCESS,0.5987,True,True,0.3773,0.001866,0.056816,4.332724170263173e-05,,114.231,114.441,3248.3,3222,0,0,0.0,False,9.978,9.978,451.2,451.2,2290.4,7.1085,
2155a872fe5a:000,T1,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-T1.csv,25759,738.379,SUCCESS,0.0303,True,False,0.1688,0.008956,0.107689,3.637247564001971e-05,,143.372,143.372,53314.0,15396,10362,6377,0.0,False,67.203,67.203,33943.1,33943.1,54189.7,73.3901,-115.82
228caace5149:000,VTA13,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta13.csv,404,40.301,INSUFFICIENT_MOTION,0.0,False,True,0.0,0.0,0.0,6.931881187771826e-05,,23.494,42.979,776.0,403,0,0,12.0,True,18.45,5.09,592.9,795.7,1030.2,25.5624,
25bba4c7024d:000,VTA16,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta16.csv,11335,1133.4,SUCCESS,0.0471,True,True,0.0441,0.003436,0.060447,4.962356418193933e-05,,398.667,399.064,170170.7,11334,0,0,0.0,False,174.629,174.629,27742.8,27742.8,72005.5,63.5305,
25e382fbbc34:000,VTA1A,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta1a.csv,25676,2567.499,SUCCESS,0.1662,True,False,0.0088,0.0019,0.048106,4.6719504595616075e-05,,752.261,752.935,1024822.1,25675,0,0,0.0,False,433.594,433.594,300542.8,300542.8,560093.2,218.1474,-125.01
274a8da537e3:000,S3A,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-S3a.csv,24621,2462.0,SUCCESS,0.0572,True,False,0.079,0.000343,0.042215,4.837739734355251e-05,,953.405,953.405,473012.3,24620,0,0,0.0,False,277.882,277.882,32292.2,32292.2,132052.0,53.6361,-18.87
28161336944b:000,VTA30,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta30.csv,17136,1713.5,SUCCESS,0.1757,True,False,0.1674,0.001383,0.047308,4.934750816987357e-05,,475.323,481.961,476910.0,17135,0,0,0.0,False,296.558,296.558,133222.5,133222.5,263040.5,153.5107,169.53
