segment_id,duration_s,axis,attitude_mode,magnitude,divergence_from_baseline_m,final_horizontal_error_m,path_length_m
2053e5e5c9a7:000,322.2,gyro_x,gyro_propagation,0.001,50684.592,32506.71,42801.1
2053e5e5c9a7:000,322.2,gyro_x,gyro_propagation,0.005,244314.447,208229.33,232872.3
2053e5e5c9a7:000,322.2,gyro_x,gyro_propagation,0.01,432610.748,314897.47,433417.7
2053e5e5c9a7:000,322.2,gyro_x,gyro_propagation,0.02,537800.807,173291.93,568869.6
2053e5e5c9a7:000,322.2,accel_x,phase3_filter,0.005,258.699,2043.96,3228.3
2053e5e5c9a7:000,322.2,accel_x,phase3_filter,0.02,1034.795,1323.11,3382.0
2053e5e5c9a7:000,322.2,accel_x,phase3_filter,0.05,2586.987,626.24,4084.6
2053e5e5c9a7:000,322.2,accel_x,phase3_filter,0.1,5173.973,2913.12,5570.6
2053e5e5c9a7:000,322.2,gyro_y,gyro_propagation,0.001,50576.692,40274.17,52519.9
2053e5e5c9a7:000,322.2,gyro_y,gyro_propagation,0.005,243767.438,210292.17,238686.1
2053e5e5c9a7:000,322.2,gyro_y,gyro_propagation,0.01,430836.05,304535.99,437179.1
2053e5e5c9a7:000,322.2,gyro_y,gyro_propagation,0.02,518372.193,138796.41,555063.4
2053e5e5c9a7:000,322.2,accel_y,phase3_filter,0.005,259.017,2244.18,3322.8
2053e5e5c9a7:000,322.2,accel_y,phase3_filter,0.02,1036.067,2277.45,3634.1
2053e5e5c9a7:000,322.2,accel_y,phase3_filter,0.05,2590.168,2998.59,4687.7
2053e5e5c9a7:000,322.2,accel_y,phase3_filter,0.1,5180.336,5070.97,6743.7
2053e5e5c9a7:000,322.2,gyro_z,gyro_propagation,0.001,2575.887,24095.63,36127.1
2053e5e5c9a7:000,322.2,gyro_z,gyro_propagation,0.005,15890.74,13370.41,28524.6
2053e5e5c9a7:000,322.2,gyro_z,gyro_propagation,0.01,35359.246,8633.86,28957.1
2053e5e5c9a7:000,322.2,gyro_z,gyro_propagation,0.02,54040.222,39836.46,47414.3
2053e5e5c9a7:000,322.2,accel_z,phase3_filter,0.005,259.131,2289.09,3319.4
2053e5e5c9a7:000,322.2,accel_z,phase3_filter,0.02,1036.524,2285.25,3766.6
2053e5e5c9a7:000,322.2,accel_z,phase3_filter,0.05,2591.31,2277.58,4983.3
2053e5e5c9a7:000,322.2,accel_z,phase3_filter,0.1,5182.619,2264.81,7236.7
4e255b689bb1:000,322.2,gyro_x,gyro_propagation,0.001,50684.592,32506.71,42801.1
4e255b689bb1:000,322.2,gyro_x,gyro_propagation,0.005,244314.447,208229.33,232872.3
4e255b689bb1:000,322.2,gyro_x,gyro_propagation,0.01,432610.748,314897.47,433417.7
4e255b689bb1:000,322.2,gyro_x,gyro_propagation,0.02,537800.807,173291.93,568869.6
4e255b689bb1:000,322.2,accel_x,phase3_filter,0.005,258.699,2043.96,3228.3
4e255b689bb1:000,322.2,accel_x,phase3_filter,0.02,1034.795,1323.11,3382.0
4e255b689bb1:000,322.2,accel_x,phase3_filter,0.05,2586.987,626.24,4084.6
4e255b689bb1:000,322.2,accel_x,phase3_filter,0.1,5173.973,2913.12,5570.6
4e255b689bb1:000,322.2,gyro_y,gyro_propagation,0.001,50576.692,40274.17,52519.9
4e255b689bb1:000,322.2,gyro_y,gyro_propagation,0.005,243767.438,210292.17,238686.1
4e255b689bb1:000,322.2,gyro_y,gyro_propagation,0.01,430836.05,304535.99,437179.1
4e255b689bb1:000,322.2,gyro_y,gyro_propagation,0.02,518372.193,138796.41,555063.4
4e255b689bb1:000,322.2,accel_y,phase3_filter,0.005,259.017,2244.18,3322.8
4e255b689bb1:000,322.2,accel_y,phase3_filter,0.02,1036.067,2277.45,3634.1
4e255b689bb1:000,322.2,accel_y,phase3_filter,0.05,2590.168,2998.59,4687.7
4e255b689bb1:000,322.2,accel_y,phase3_filter,0.1,5180.336,5070.97,6743.7
4e255b689bb1:000,322.2,gyro_z,gyro_propagation,0.001,2575.887,24095.63,36127.1
4e255b689bb1:000,322.2,gyro_z,gyro_propagation,0.005,15890.74,13370.41,28524.6
4e255b689bb1:000,322.2,gyro_z,gyro_propagation,0.01,35359.246,8633.86,28957.1
4e255b689bb1:000,322.2,gyro_z,gyro_propagation,0.02,54040.222,39836.46,47414.3
4e255b689bb1:000,322.2,accel_z,phase3_filter,0.005,259.131,2289.09,3319.4
4e255b689bb1:000,322.2,accel_z,phase3_filter,0.02,1036.524,2285.25,3766.6
4e255b689bb1:000,322.2,accel_z,phase3_filter,0.05,2591.31,2277.58,4983.3
4e255b689bb1:000,322.2,accel_z,phase3_filter,0.1,5182.619,2264.81,7236.7
836db6cc3414:000,313.7,gyro_x,gyro_propagation,0.001,39743.519,102400.33,144355.9
836db6cc3414:000,313.7,gyro_x,gyro_propagation,0.005,193762.674,228040.24,294101.2
836db6cc3414:000,313.7,gyro_x,gyro_propagation,0.01,349282.176,285954.75,450556.9
836db6cc3414:000,313.7,gyro_x,gyro_propagation,0.02,445012.544,133789.32,540468.1
836db6cc3414:000,313.7,accel_x,phase3_filter,0.005,229.906,7487.69,19463.0
836db6cc3414:000,313.7,accel_x,phase3_filter,0.02,919.625,7622.35,19607.4
836db6cc3414:000,313.7,accel_x,phase3_filter,0.05,2299.063,7981.28,19973.2
836db6cc3414:000,313.7,accel_x,phase3_filter,0.1,4598.126,8817.73,20792.2
836db6cc3414:000,313.7,gyro_y,gyro_propagation,0.001,40286.564,75508.02,130975.3
836db6cc3414:000,313.7,gyro_y,gyro_propagation,0.005,186422.242,162620.01,246883.0
836db6cc3414:000,313.7,gyro_y,gyro_propagation,0.01,319629.121,208420.36,377351.7
836db6cc3414:000,313.7,gyro_y,gyro_propagation,0.02,417380.218,129476.66,476164.1
836db6cc3414:000,313.7,accel_y,phase3_filter,0.005,230.93,7228.13,19268.2
836db6cc3414:000,313.7,accel_y,phase3_filter,0.02,923.722,6564.63,18823.0
836db6cc3414:000,313.7,accel_y,phase3_filter,0.05,2309.304,5246.05,17994.3
836db6cc3414:000,313.7,accel_y,phase3_filter,0.1,4618.608,3103.1,16814.1
836db6cc3414:000,313.7,gyro_z,gyro_propagation,0.001,11459.104,75552.79,122825.1
836db6cc3414:000,313.7,gyro_z,gyro_propagation,0.005,63694.872,119741.83,166357.4
