source_file,stream,row_count,valid_timestamps,invalid_timestamps,duplicate_timestamp_rows,non_monotonic_rows,reordered,measured_rate_hz,segment_count,encoding,encoding_warning,repair_applied,satellites_consistent
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,smartphone,105974,105974,0,0,0,False,10.000009536752259,1,cp1252,not valid UTF-8 (byte 223); decoded with cp1252 fallback,False,True
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,vehicle,105974,105974,0,2,0,False,10.00000000014552,1,utf-8,,False,True
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,smartphone,51746,51746,0,0,0,False,10.000009536752259,1,cp1252,not valid UTF-8 (byte 223); decoded with cp1252 fallback,False,True
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,vehicle,51746,51746,0,0,0,False,10.00000000014552,1,utf-8,,False,True
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,smartphone,93876,93876,0,0,0,False,10.000009536752259,1,cp1252,not valid UTF-8 (byte 223); decoded with cp1252 fallback,False,True
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,vehicle,93876,93876,0,0,0,False,10.00000000014552,1,utf-8,,False,True
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,smartphone,24621,24621,0,0,0,False,10.000009536752259,1,cp1252,not valid UTF-8 (byte 223); decoded with cp1252 fallback,False,True
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,vehicle,24621,24621,0,0,0,False,9.999999999417923,1,utf-8,,False,True
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,smartphone,6813,6813,0,0,0,False,10.000009536752259,1,cp1252,not valid UTF-8 (byte 223); decoded with cp1252 fallback,False,True
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,vehicle,6813,6813,0,0,0,False,9.999999999417923,1,utf-8,,False,True
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,smartphone,37183,37183,0,0,0,False,10.000009536752259,1,cp1252,not valid UTF-8 (byte 223); decoded with cp1252 fallback,False,True
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,vehicle,37183,37183,0,0,0,False,9.999999999417923,1,utf-8,,False,True
