relative_path,column,semantic_role,observed_min,observed_max,expected_low,expected_high,interpretation,evidence,detail
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,ACCELEROMETER Z,accel_z,-19.5769,59.4461,-50.0,50.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [-19.58, 59.45] outside screen [-50, 50]"
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,ACCELEROMETER Y,accel_y,-9.2256,52.3986,-50.0,50.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [-9.226, 52.4] outside screen [-50, 50]"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 953 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/S-Vta5.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 307 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/V-vta6.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 1376 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/V-vta9.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 156 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/V-vta12.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 610 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/V-vta13.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 404 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/V-vta14.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 2885 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/V-vta15.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 833 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta22/S-Vta22.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 1564 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta25/S-Vta25.csv,GPS ACCURACY,gnss_accuracy,3.0,3.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 3.0 across 646 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta29/V-vta29.csv,Steering Angle,steering_angle,0.0,800.8,-720.0,720.0,possible_valid_extreme,VERIFIED_FROM_FILE,"observed [0, 800.8] outside screen [-720, 720]"
