relative_path,time_column_role,measured_rate_hz,rate_kind,delta_median_s,delta_mean_s,delta_std_s,delta_min_s,delta_max_s,coefficient_of_variation,sampling_class,evidence
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,time_since_start_ms,10.000000000009095,exact,0.09999999999990905,0.10001193711546447,0.003968366473557808,0.0809999999999036,1.365000000000009,0.03967892821610186,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,time_of_day_s,10.00000000014552,exact,0.09999999999854481,0.10000094364549122,0.0003072174011410303,0.0989999999947031,0.19999999999708962,0.0030721450212523264,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,time_since_start_ms,10.000000000009095,exact,0.09999999999990905,0.0999999806744613,0.0007646277014951554,0.08900000000039654,0.11099999999987631,0.007646278492636063,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,time_of_day_s,10.00000000014552,exact,0.09999999999854481,0.1,6.216999090860725e-06,0.0989999999947031,0.10100000000238651,6.216999090860725e-05,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,time_since_start_ms,9.999999999997726,exact,0.10000000000002274,0.10000000000000002,0.0005868541640226512,0.08799999999973807,0.11200000000008004,0.00586854164022651,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,time_of_day_s,10.00000000014552,exact,0.09999999999854481,0.1,6.52762233826259e-06,0.09900000000197906,0.10100000000238651,6.527622338262589e-05,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,time_since_start_ms,10.000000000000568,exact,0.09999999999999432,0.1,0.0007830453578772541,0.08699999999998909,0.11199999999985266,0.00783045357877254,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,time_of_day_s,9.999999999417923,exact,0.10000000000582077,0.1,7.128953417949148e-12,0.09999999999126885,0.10000000000582077,7.128953417949147e-11,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,time_since_start_ms,10.000000000000568,exact,0.09999999999999432,0.09999999999999996,0.0007916017857307495,0.09499999999979991,0.10500000000001819,0.007916017857307498,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,time_of_day_s,9.999999999417923,exact,0.10000000000582077,0.09999999999999958,7.129040615335608e-12,0.09999999999126885,0.10000000000582077,7.129040615335639e-11,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,time_since_start_ms,10.000000000009095,exact,0.09999999999990905,0.099999973105266,0.0008548116913381289,0.08199999999987995,0.12100000000009459,0.008548119212375214,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,time_of_day_s,9.999999999417923,exact,0.10000000000582077,0.09999999999999992,7.334130326954851e-06,0.09900000000197906,0.10099999999511056,7.334130326954857e-05,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,time_since_start_ms,10.000000000009095,exact,0.09999999999990905,0.09999998942884024,0.000861198001403049,0.08199999999999363,0.11700000000001864,0.008611980924416751,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/V-S4.csv,time_of_day_s,10.00000000014552,exact,0.09999999999854481,0.10000000000000002,4.598029185474273e-06,0.09900000000197906,0.10099999999511056,4.598029185474272e-05,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,time_since_start_ms,9.999999999997726,exact,0.10000000000002274,0.1,0.0008482613014428688,0.08600000000001273,0.11299999999999955,0.008482613014428687,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/V-Vfa01.csv,time_of_day_s,10.00000000014552,exact,0.09999999999854481,0.10000000000000013,2.9104776654407343e-12,0.09999999999854481,0.10000000000582077,2.9104776654407307e-11,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,time_since_start_ms,10.000000000009095,exact,0.09999999999990905,0.10000001480998787,0.000859756537429444,0.05899999999996908,0.1410000000000764,0.00859756410099624,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/V-Vfa02.csv,time_of_day_s,10.00000000014552,exact,0.09999999999854481,0.10000000000000002,5.43309786606368e-06,0.09900000000197906,0.10100000000238651,5.433097866063679e-05,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/S-Vta1a.csv,time_since_start_ms,10.000000000000568,exact,0.09999999999999432,0.09999996105160663,0.0007051624896069295,0.08799999999996544,0.11099999999999,0.007051627642564968,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/V-Vta1a.csv,time_of_day_s,10.00000000014552,exact,0.09999999999854481,0.1,2.9103830456786644e-12,0.09999999999854481,0.10000000000582077,2.910383045678664e-11,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/S-Vta1b.csv,time_since_start_ms,10.000000000009095,exact,0.09999999999990905,0.10000000000000019,0.0006060208578683719,0.09400000000005093,0.10599999999976717,0.006060208578683708,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,time_of_day_s,10.00000000014552,exact,0.09999999999854481,0.09999999999999694,2.908087691110064e-12,0.09999999999854481,0.10000000000582077,2.908087691110153e-11,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/S-Vta2.csv,time_since_start_ms,10.000000000009095,exact,0.09999999999990905,0.09999981801637853,0.0006983667177389171,0.09000000000014552,0.10799999999971988,0.006983679886542741,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/V-vta2.csv,time_of_day_s,10.00000000014552,exact,0.09999999999854481,0.1,2.9103830456786644e-12,0.09999999999854481,0.10000000000582077,2.910383045678664e-11,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/S-Vta3.csv,time_since_start_ms,9.999999999999858,exact,0.10000000000000142,0.1,0.0005897678246195116,0.09600000000000009,0.10400000000000276,0.0058976782461951155,stable,VERIFIED_FROM_FILE
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/V-vta3.csv,time_of_day_s,10.00000000014552,exact,0.09999999999854481,0.10000000000000225,2.9120763865081666e-12,0.09999999999854481,0.10000000000582077,2.912076386508101e-11,stable,VERIFIED_FROM_FILE
