scenario_id,name,session,driver,country,dataset_family,source,verification_status
M,M,M,B,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
S,S,S1,A,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
S,S,S2,A,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
S,S,S3A,A,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
S,S,S3B,A,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
S,S,S3C,A,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
S,S,S4,A,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vf,Vf,VFA01,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vf,Vf,VFA02,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA10,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA11,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA12,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA13,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA14,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA15,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA16,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA17,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA19,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA1A,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA1B,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA2,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA20,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA21,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA22,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA23,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA24,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA25,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA26,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA27,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA28,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA29,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA3,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
Vta,Vta,VTA30,E,,synchronized_categorized,directory_structure,VERIFIED_FROM_FILE
