source_file,session_id,stream,dataset_family,payload_hash,segment_id,segment_index,start_row,end_row,row_count,start_time_s,end_time_s,duration_s,gap_before_s,median_interval_s,measured_rate_hz,segmentation_reason,is_short
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,M,smartphone,synchronized_categorized,71453d0af0d336bf4cc25e548f4ec4c75e83eba8b2a224604280510049d09587,71453d0af0d3:000,0,0,105973,105974,1567847609.5059998,1567858209.129,10599.623000144958,,0.09999990463256836,10.000009536752259,first segment of file,False
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,M,vehicle,synchronized_categorized,23f0904d08a74f8eae2f689349079659e8a0b71717fc2898eea541780a61ef14,23f0904d08a7:000,0,0,105973,105974,29608.4,40205.7,10597.299999999996,,0.09999999999854481,10.00000000014552,first segment of file,False
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,S1,smartphone,synchronized_categorized,b15d7dcaa47b1d92805048eb66121567075f37a26314ecabf33e09898ac95dab,b15d7dcaa47b:000,0,0,51745,51746,1567937269.5459998,1567942444.0449998,5174.499000072479,,0.09999990463256836,10.000009536752259,first segment of file,False
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,S1,vehicle,synchronized_categorized,8e59eda9fa0601b1f8243aef2526346092ee0f0607570aaaf3cc97e61f7b193f,8e59eda9fa06:000,0,0,51745,51746,32869.0,38043.5,5174.5,,0.09999999999854481,10.00000000014552,first segment of file,False
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,S2,smartphone,synchronized_categorized,5851902ce5d4f82f900d082e082d2fc43deac3d4f8f128d1193e6a353970f22d,5851902ce5d4:000,0,0,93875,93876,1567944231.741,1567953620.349,9388.608000040054,,0.09999990463256836,10.000009536752259,first segment of file,False
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,S2,vehicle,synchronized_categorized,492b2b5443566cf77f57c729b9dfed8b8533d60c0f02ee4a8d5dc6205e8e94ec,492b2b544356:000,0,0,93875,93876,39824.4,49211.9,9387.5,,0.09999999999854481,10.00000000014552,first segment of file,False
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,S3A,smartphone,synchronized_categorized,274a8da537e3c3794e8e39760ed6667c673b0671c86752f1eb3782d8561582d4,274a8da537e3:000,0,0,24620,24621,1567624911.4940002,1567627373.4940002,2462.0,,0.09999990463256836,10.000009536752259,first segment of file,False
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,S3A,vehicle,synchronized_categorized,97e24d298e0c300746994304e40071b074ebbddb7c3865a442d5caef279dfed4,97e24d298e0c:000,0,0,24620,24621,66118.0,68580.0,2462.0,,0.10000000000582077,9.999999999417923,first segment of file,False
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,S3B,smartphone,synchronized_categorized,5b2fbe40e507e9813d47413517e5392fcd36885aa9efa4f5b4afa8b3e0d38b58,5b2fbe40e507:000,0,0,6812,6813,1567627383.493,1567628069.021,685.5279998779297,,0.09999990463256836,10.000009536752259,first segment of file,False
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,S3B,vehicle,synchronized_categorized,0de2ff37232feaa0c59896f5c53151efda817c8311f74756c079260a2a491ac7,0de2ff37232f:000,0,0,6812,6813,68582.8,69264.0,681.1999999999971,,0.10000000000582077,9.999999999417923,first segment of file,False
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,S3C,smartphone,synchronized_categorized,45a91123027b3f299865b7721e13300380b8de948c6360951a78cd3ef1d26db9,45a91123027b:000,0,0,37182,37183,1567628068.521,1567631786.72,3718.199000120163,,0.09999990463256836,10.000009536752259,first segment of file,False
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,S3C,vehicle,synchronized_categorized,86d8c37c03bbab93004dabb1712cbf67c9ec13194d2061adcd28a93f457bc8b9,86d8c37c03bb:000,0,0,37182,37183,69267.8,72986.0,3718.199999999997,,0.10000000000582077,9.999999999417923,first segment of file,False
