segment_id,session_id,source_file,status,sample_count,duration_s,measured_rate_hz,is_regular,duplicate_timestamp_rows,analysis_time_source,gravity_method,gravity_confidence,gravity_tilt_from_phone_z_deg,magnetometer_weight,magnetometer_issues,yaw_support,orientation_mean_confidence,orientation_skipped_steps,speed_reference,speed_valid_fraction,alignment_confidence,yaw_resolved,roll_deg,pitch_deg,yaw_deg,forward_correlation,forward_lag_s,gravity_residual_deg,longitudinal_correlation,lateral_correlation,dynamic_sample_count,seconds_per_sample,error
02929be6c896:000,VTA24,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta24.csv,SUCCESS,1171,117.001,10.000009536752259,True,0,wall_clock,gravity_channel,0.991,0.004639171079360558,0.3,dip inconsistent,observed,0.7135,0,ref_velocity_mps,0.9829,0.4199,True,-0.004107784396990198,0.0021559257082244244,-8.283438219932936,0.9812317208122897,4.4,8.607054116212333e-18,0.025336234266892955,-0.2668681568964451,236,0.00012362271562577754,
049ad3efce5a:000,VW5,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw5.csv,SUCCESS,1012,101.101,10.000009536752259,True,0,wall_clock,gravity_channel,0.9855,0.003420759516031493,0.3,dip inconsistent,observed,0.7095,0,ref_velocity_mps,1.0,0.1096,True,0.0005842651501516456,0.0033704940144186676,-31.894433126451595,0.5595859170392525,7.0,7.910311553245694e-19,0.007848935804243553,-0.1555520573916469,448,8.835079050747119e-05,
04b0ee07c4e4:000,VTA13,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta13.csv,INSUFFICIENT_MOTION,404,40.301,10.000009536752259,True,0,wall_clock,gravity_channel,0.9886,0.01827555994838669,0.7538,no issues detected,observed,0.8913,0,gnss_speed_mps,0.0149,0.0,False,0.01270769843896669,0.013134325054608754,,,0.0,,,,3,6.373094061693859e-05,
052bc3dacd0c:000,VTA19,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta19.csv,INSUFFICIENT_MOTION,292,29.101,10.000009536752259,True,0,wall_clock,gravity_channel,0.9885,0.0035104699732241454,0.9434,no issues detected,observed,0.9661,0,gnss_speed_mps,0.0137,0.0,False,0.003325490919209223,-0.0011245041487965882,,,0.0,,,,1,9.782089042869613e-05,
06ad03911f2d:000,VTB2,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb2.csv,SUCCESS,5712,571.1,10.000009536752259,True,0,wall_clock,gravity_channel,0.9856,0.011731160845904776,0.0,"abrupt direction change, dip inconsistent",dead_reckoned,0.5,0,ref_velocity_mps,0.9928,0.1922,True,-0.0006594462056017359,-0.011712611386896797,63.43301958799735,0.7550371622553012,5.2,3.0216381383954396e-18,-0.006875561182408571,-0.17973514915968702,1700,6.110549719949336e-05,
07a93fc8421c:000,VW3,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw3.csv,SUCCESS,3861,386.001,10.000009536752259,True,0,wall_clock,gravity_channel,0.9837,0.0034833468535959747,0.3,dip inconsistent,observed,0.7082,0,ref_velocity_mps,0.987,0.0821,True,0.0019457415106550122,-0.0028892551426587384,6.40523174679883,0.49467367409741353,-12.200000000000001,1.18848080742867e-18,-0.007111670864882808,-0.09711139621983009,1366,6.629746179460029e-05,
090a788528ac:000,I,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-I.csv,INSUFFICIENT_MOTION,5800,579.9,10.000009536752259,True,2807,wall_clock,gravity_channel,0.9988,0.002676174301068414,0.3,abrupt direction change,observed,0.7191,2289,gnss_speed_mps,0.0005,0.0,False,0.000909628481193123,-0.0025168402643810923,,,0.0,,,,0,8.341463793024967e-05,
0be63d31a967:000,VW14B,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw14b.csv,SUCCESS,19588,1958.701,10.000009536752259,True,0,wall_clock,gravity_channel,0.986,0.00259517334121869,0.0,"abrupt direction change, dip inconsistent",dead_reckoned,0.5,0,ref_velocity_mps,1.0,0.2382,True,-0.002473400180552279,0.0007856310954892049,-65.1160129614664,0.8636697916287411,5.2,6.582334334014233e-18,-0.005189886347164331,-0.027493071272540904,3522,4.8962722075466934e-05,
0db4f806fa68:000,VW14B,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw14b.csv,SUCCESS,19588,1958.701,10.000009536752259,True,0,wall_clock,gravity_channel,0.986,0.002595173341218689,0.0,"abrupt direction change, dip inconsistent",dead_reckoned,0.5,0,ref_velocity_mps,0.9996,0.2382,True,-0.0024734001805522764,0.0007856310954891928,-65.11601296146638,0.8636697916287411,5.2,6.242652719560442e-19,-0.005195554718590374,-0.02763562731861115,3522,4.85331427403952e-05,
0e1987018484:000,VTA24,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta24.csv,SUCCESS,1171,117.001,10.000009536752259,True,0,wall_clock,gravity_channel,0.991,0.004639171079360556,0.3,dip inconsistent,observed,0.7135,0,ref_velocity_mps,0.9718,0.3923,True,-0.0041077843969901905,0.002155925708224427,-9.018944380076983,0.9805624852364127,4.6000000000000005,1.1614959301967083e-17,0.027080697159333294,-0.2711193316892466,234,0.0001144325362892629,
1048727c0ca2:000,VTB4,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb4.csv,INSUFFICIENT_MOTION,556,55.5,10.000009536752259,True,0,wall_clock,gravity_channel,0.9773,0.006931752261632186,0.0,"abrupt direction change, dip inconsistent",dead_reckoned,0.5,0,gnss_speed_mps,0.0108,0.0,False,0.0046405802446847005,0.005149194545486962,,,0.0,,,,0,5.539028779494663e-05,
159116d1f4d5:000,VTA27,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vta27.csv,SUCCESS,2540,253.9,10.000009536752259,True,0,wall_clock,gravity_channel,0.9789,0.008219072139063591,0.9097,no issues detected,observed,0.9435,0,ref_velocity_mps,0.998,0.2327,True,-0.003685063006903362,-0.0073466630204948695,-90.74789856101104,0.8547759322527749,5.2,5.152665282007265e-17,-0.006927732380016875,-0.24583098730074368,704,6.767366141975512e-05,
1802cbfa0458:000,VTA10,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta10.csv,SUCCESS,1502,150.1,10.000009536752259,True,0,wall_clock,gravity_channel,0.9855,0.00873147362686787,0.3,dip inconsistent,observed,0.7095,0,ref_velocity_mps,0.9687,0.1724,True,-0.006367398989119822,0.005974517717522725,78.28580920079601,0.7082451517426857,5.4,1.0325996088307444e-18,0.10476856077557863,-0.009117992526392773,631,7.005159787464138e-05,
19e3c80523ef:000,S3B,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-S3b.csv,SUCCESS,6813,685.528,10.000009536752259,True,0,wall_clock,gravity_channel,0.9683,0.002675219105592451,0.0,"abrupt direction change, dip inconsistent",dead_reckoned,0.5,1,ref_velocity_mps,0.9974,0.0117,True,0.0026467713387479178,-0.00038909991443988683,-11.618786849789275,0.3281938006281418,-12.0,1.316193577707504e-19,0.006604262965221955,0.09441303916145836,3080,8.559170703117406e-05,
1a9d760bc7d2:000,VW9,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw9.csv,INSUFFICIENT_MOTION,552,55.101,10.000009536752259,True,0,wall_clock,gravity_channel,0.9844,0.01588866308974896,0.3,dip inconsistent,observed,0.7088,0,gnss_speed_mps,0.0127,0.0,False,-0.013434945845065585,0.008482443412043392,,,0.0,,,,1,7.263351448194084e-05,
1deac04dc111:000,VTA6,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta6.csv,SUCCESS,1376,137.5,10.000009536752259,True,0,wall_clock,gravity_channel,0.9808,0.007734957460655138,0.8003,no issues detected,observed,0.9025,0,ref_velocity_mps,0.9876,0.1426,True,-0.0025107516351088217,0.007316125557916856,32.930966207311926,0.6393340363394721,3.8000000000000003,1.463939007759398e-18,-0.006220608076433182,0.029429311875937128,633,7.026438953649039e-05,
