session_id,dataset_family,driver,driver_evidence,category,country,country_evidence,smartphone_files,vehicle_files,is_paired,pairing_evidence
M,synchronized_categorized,B,VERIFIED_FROM_FILE,M,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,True,INFERRED
S1,synchronized_categorized,A,VERIFIED_FROM_FILE,S,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,True,INFERRED
S2,synchronized_categorized,A,VERIFIED_FROM_FILE,S,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,True,INFERRED
S3A,synchronized_categorized,A,VERIFIED_FROM_FILE,S,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,True,INFERRED
S3B,synchronized_categorized,A,VERIFIED_FROM_FILE,S,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,True,INFERRED
S3C,synchronized_categorized,A,VERIFIED_FROM_FILE,S,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,True,INFERRED
S4,synchronized_categorized,A,VERIFIED_FROM_FILE,S,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/V-S4.csv,True,INFERRED
VFA01,synchronized_categorized,E,VERIFIED_FROM_FILE,Vf,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/V-Vfa01.csv,True,INFERRED
VFA02,synchronized_categorized,E,VERIFIED_FROM_FILE,Vf,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/V-Vfa02.csv,True,INFERRED
VTA10,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/S-Vta10.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/V-vta10.csv,True,INFERRED
VTA11,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/S-Vta11.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/V-vta11.csv,True,INFERRED
VTA12,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/S-Vta12.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/V-vta12.csv,True,INFERRED
VTA13,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/S-Vta13.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/V-vta13.csv,True,INFERRED
VTA14,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/S-Vta14.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/V-vta14.csv,True,INFERRED
VTA15,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/S-Vta15.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/V-vta15.csv,True,INFERRED
VTA16,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/S-Vta16.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/V-vta16.csv,True,INFERRED
VTA17,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/S-Vta17.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/V-vta17.csv,True,INFERRED
VTA19,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/S-Vta19.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/V-vta19.csv,True,INFERRED
VTA1A,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/S-Vta1a.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/V-Vta1a.csv,True,INFERRED
VTA1B,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/S-Vta1b.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,True,INFERRED
VTA2,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/S-Vta2.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/V-vta2.csv,True,INFERRED
VTA20,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta20/S-Vta20.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta20/V-vta20.csv,True,INFERRED
VTA21,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta21/S-Vta21.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta21/V-vta21.csv,True,INFERRED
VTA22,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta22/S-Vta22.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta22/V-vta22.csv,True,INFERRED
VTA23,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta23/S-Vta23.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta23/V-vta23.csv,True,INFERRED
VTA24,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta24/S-Vta24.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta24/V-vta24.csv,True,INFERRED
VTA25,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta25/S-Vta25.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta25/V-vta25.csv,True,INFERRED
