segment_id,group_key,split,payload_hash,session_id,source_file,dataset_family,stream,row_count,duration_s
738f4d6048eb:000,00159a5e190cac89,test,738f4d6048ebe0c546c333422a88b1265dd2669884310c0d0733266199ac78e0,ST7,Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/St (Driver C)/St7/V-St7.csv,unsynchronized_categorized,vehicle,44427,4509.700000000004
738f4d6048eb:000,00159a5e190cac89,test,738f4d6048ebe0c546c333422a88b1265dd2669884310c0d0733266199ac78e0,ST7,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/V-Dataset/V-St7.csv,unsynchronized_uncategorized,vehicle,44427,4509.700000000004
9e3fc03408f1:000,03014b1617af0501,validation,9e3fc03408f134c51ff02fb592c7544c0051199cdef0d2f9b8011a34d1c8bbaa,VTB10,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb10/S-Vtb10.csv,synchronized_categorized,smartphone,196,19.5
bfc8ef5f13fa:000,03014b1617af0501,validation,bfc8ef5f13fadb113b68b7dc3632dfe9836ca7a38ba63a46537ce192bb5dd576,VTB10,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb10/V-vtb10.csv,synchronized_categorized,vehicle,195,19.40000000000873
202fab30375e:000,03014b1617af0501,validation,202fab30375ed39b0311ac63e92a1c58ad2851541bc72cc9792bce638363d23b,VTB10,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb10.csv,synchronized_uncategorized,smartphone,196,19.5
bfc8ef5f13fa:000,03014b1617af0501,validation,bfc8ef5f13fadb113b68b7dc3632dfe9836ca7a38ba63a46537ce192bb5dd576,VTB10,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb10.csv,synchronized_uncategorized,vehicle,195,19.40000000000873
8024f15a5206:000,03014b1617af0501,validation,8024f15a52069f27eae14572691fc098d9704bffce76daba0a7d08418ddef009,VTB10,Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vtb (Driver E)/Vtb10/V-Vtb10.csv,unsynchronized_categorized,vehicle,195,19.40000000000873
9e3fc03408f1:000,03014b1617af0501,validation,9e3fc03408f134c51ff02fb592c7544c0051199cdef0d2f9b8011a34d1c8bbaa,VTB10,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vtb10.csv,unsynchronized_uncategorized,smartphone,196,19.5
8024f15a5206:000,03014b1617af0501,validation,8024f15a52069f27eae14572691fc098d9704bffce76daba0a7d08418ddef009,VTB10,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/V-Dataset/V-Vtb10.csv,unsynchronized_uncategorized,vehicle,195,19.40000000000873
3db4ee68418f:000,03a8ac7b6280c69d,validation,3db4ee68418f36529ab01bfc7cff290531941291af2e369e5da974f884f9ba9b,VW12,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw12/S-Vw12.csv,synchronized_categorized,smartphone,918,91.70000004768372
b5448bfcb130:000,03a8ac7b6280c69d,validation,b5448bfcb1300088911573bba02087a96a3264ce838a70f58cf631c69d029e0a,VW12,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw12/V-Vw12.csv,synchronized_categorized,vehicle,918,91.70000000000437
fa60a662386f:000,03a8ac7b6280c69d,validation,fa60a662386f7eff0150f6b8380a9e1e008a2fa4c3fca2308bd0b0b6fbbc2dd5,VW12,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw12.csv,synchronized_uncategorized,smartphone,918,91.70000004768372
b5448bfcb130:000,03a8ac7b6280c69d,validation,b5448bfcb1300088911573bba02087a96a3264ce838a70f58cf631c69d029e0a,VW12,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vw12.csv,synchronized_uncategorized,vehicle,918,91.70000000000437
a54ef9e6ab8a:000,03a8ac7b6280c69d,validation,a54ef9e6ab8a38f1769e271e86324d517a3c2333656bd2967a9c987c4005ab95,VW12,Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vw (Driver E)/Vw12/V-Vw12.csv,unsynchronized_categorized,vehicle,1069,106.80000000000291
3db4ee68418f:000,03a8ac7b6280c69d,validation,3db4ee68418f36529ab01bfc7cff290531941291af2e369e5da974f884f9ba9b,VW12,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-Vw12.csv,unsynchronized_uncategorized,smartphone,918,91.70000004768372
a54ef9e6ab8a:000,03a8ac7b6280c69d,validation,a54ef9e6ab8a38f1769e271e86324d517a3c2333656bd2967a9c987c4005ab95,VW12,Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/V-Dataset/V-Vw12.csv,unsynchronized_uncategorized,vehicle,1069,106.80000000000291
71453d0af0d3:000,03ecce3ad8bfc299,train,71453d0af0d336bf4cc25e548f4ec4c75e83eba8b2a224604280510049d09587,M,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,synchronized_categorized,smartphone,105974,10599.623000144958
