session_id,dataset_family,smartphone_file,vehicle_file,smartphone_rows,vehicle_rows,row_counts_match,smartphone_start_s,smartphone_end_s,vehicle_start_s,vehicle_end_s,raw_overlap_s,offset_start_s,offset_end_s,mean_offset_s,drift_s,drift_ppm,whole_hour_offset,residual_offset_s,aligned_overlap_s,interpretation,evidence,note
M,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,105974,105974,True,33209.506,43809.129,29608.4,40205.7,6996.193999999996,3601.1059999999998,3603.4290000000037,3602.2675000000017,2.323000000003958,219.20677908561228,1,2.2675000000017462,10597.299999999996,variable_offset_possible_drift,INFERRED,offset moved +2.3230s over 10597.3s (+219.2 ppm)
S1,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,51746,51746,True,36469.546,41644.045,32869.0,38043.5,1573.953999999998,3600.546000000002,3600.5449999999983,3600.5455,-0.0010000000038417056,-0.19325538773634277,1,0.5455000000001746,5174.498999999996,constant_offset_whole_hour_likely_timezone,INFERRED,streams differ by ~1h (3600.546s) with -0.0010s drift; consistent with a UTC/local-time difference rather than clock error
S2,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,93876,93876,True,43431.741,52820.349,39824.4,49211.9,5780.159,3607.3410000000003,3608.4490000000005,3607.8950000000004,1.1080000000001746,118.02929427431954,1,7.895000000000437,9387.5,variable_offset_possible_drift,INFERRED,offset moved +1.1080s over 9387.5s (+118.0 ppm)
S3A,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,24621,24621,True,69711.494,72173.494,66118.0,68580.0,0.0,3593.494000000006,3593.494000000006,3593.494000000006,0.0,0.0,1,-6.505999999993946,2462.0,constant_offset,INFERRED,"stable offset 3593.494s, drift +0.0000s"
S3B,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,6813,6813,True,72183.493,72869.021,68582.8,69264.0,0.0,3600.6929999999993,3605.0209999999934,3602.8569999999963,4.327999999994063,6353.493834401176,1,2.856999999996333,681.1999999999971,variable_offset_possible_drift,INFERRED,offset moved +4.3280s over 681.2s (+6353.5 ppm)
S3C,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,37183,37183,True,72868.521,76586.72,69267.8,72986.0,117.47900000000664,3600.7209999999905,3600.720000000001,3600.720499999996,-0.0009999999892897904,-0.2689473372303241,1,0.720499999995809,3718.199000000008,constant_offset_whole_hour_likely_timezone,INFERRED,streams differ by ~1h (3600.720s) with -0.0010s drift; consistent with a UTC/local-time difference rather than clock error
S4,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/V-S4.csv,94600,94600,True,65775.111,75548.216,62173.4,71633.3,5858.1889999999985,3601.711000000003,3914.9159999999974,3758.3135,313.20499999999447,33108.70093764146,1,158.3135000000002,9459.900000000001,variable_offset_possible_drift,INFERRED,offset moved +313.2050s over 9459.9s (+33108.7 ppm)
VFA01,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/V-Vfa01.csv,11486,11535,False,33626.236,34774.736,33622.0,34775.4,1148.5,4.235999999997148,-0.6640000000043074,1.7859999999964202,-4.900000000001455,-4248.309346281818,0,1.7859999999964202,1148.5,variable_offset_possible_drift,INFERRED,offset moved -4.9000s over 1153.4s (-4248.3 ppm)
VFA02,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/V-Vfa02.csv,67523,67755,False,35837.649,42589.85,35829.9,42605.3,6752.201000000001,7.748999999996158,-15.450000000004366,-3.8505000000041036,-23.199000000000524,-3424.004486820043,0,-3.8505000000041036,6752.201000000001,variable_offset_possible_drift,INFERRED,offset moved -23.1990s over 6775.4s (-3424.0 ppm)
VTA10,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/S-Vta10.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/V-vta10.csv,1502,1502,True,43310.393,43460.493,43309.9,43460.0,149.6070000000036,0.49299999999493593,0.4930000000022119,0.4929999999985739,7.275957614183426e-12,4.8474068049190515e-08,0,0.4929999999985739,150.09999999999854,constant_offset,INFERRED,"stable offset 0.493s, drift +0.0000s"
VTA11,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/S-Vta11.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/V-vta11.csv,510,510,True,43472.393,43523.293,43471.9,43522.8,50.40700000000652,0.49299999999493593,0.49299999999493593,0.49299999999493593,0.0,0.0,0,0.49299999999493593,50.900000000001455,constant_offset,INFERRED,"stable offset 0.493s, drift +0.0000s"
VTA12,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/S-Vta12.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/V-vta12.csv,610,610,True,43535.393,43596.293,43535.1,43596.0,60.60700000000361,0.2929999999978463,0.2929999999978463,0.2929999999978463,0.0,0.0,0,0.2929999999978463,60.900000000001455,constant_offset,INFERRED,"stable offset 0.293s, drift +0.0000s"
VTA13,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/S-Vta13.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/V-vta13.csv,404,404,True,43607.292,43647.593,43606.9,43647.2,39.90799999999581,0.3919999999998254,0.3930000000036671,0.39250000000174623,0.0010000000038417056,24.81389587696809,0,0.39250000000174623,40.299999999995634,constant_offset,INFERRED,"stable offset 0.393s, drift +0.0010s"
VTA14,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/S-Vta14.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/V-vta14.csv,2885,2885,True,43652.493,43940.893,43651.8,43940.2,287.7069999999949,0.6929999999993015,0.6929999999993015,0.6929999999993015,0.0,0.0,0,0.6929999999993015,288.3999999999942,constant_offset,INFERRED,"stable offset 0.693s, drift +0.0000s"
VTA15,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/S-Vta15.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/V-vta15.csv,833,833,True,43951.793,44034.993,43948.8,44032.0,80.20700000000215,2.992999999994936,2.993000000002212,2.992999999998574,7.275957614183426e-12,8.745141363201539e-08,0,2.992999999998574,83.19999999999709,constant_offset,INFERRED,"stable offset 2.993s, drift +0.0000s"
VTA16,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/S-Vta16.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/V-vta16.csv,11335,11335,True,44040.693,45174.093,44038.9,45172.3,1131.6070000000036,1.7929999999978463,1.7929999999978463,1.7929999999978463,0.0,0.0,0,1.7929999999978463,1133.4000000000015,constant_offset,INFERRED,"stable offset 1.793s, drift +0.0000s"
VTA17,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/S-Vta17.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/V-vta17.csv,4519,4519,True,45185.392,45638.378,45184.9,45636.7,451.30799999999726,0.4919999999983702,1.6779999999998836,1.0849999999991269,1.1860000000015134,2625.055334222056,0,1.0849999999991269,451.79999999999563,variable_offset_possible_drift,INFERRED,offset moved +1.1860s over 451.8s (+2625.1 ppm)
VTA19,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/S-Vta19.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/V-vta19.csv,292,292,True,45657.377,45686.478,45656.9,45686.0,28.622999999999593,0.47699999999895226,0.47800000000279397,0.4775000000008731,0.0010000000038417056,34.364261300403975,0,0.4775000000008731,29.099999999998545,constant_offset,INFERRED,"stable offset 0.478s, drift +0.0010s"
VTA1A,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/S-Vta1a.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/V-Vta1a.csv,25676,25676,True,38507.363,41074.862,38521.0,41088.5,2553.862000000001,-13.637000000002445,-13.63799999999901,-13.637500000000728,-0.000999999996565748,-0.3894839324501453,0,-13.637500000000728,2567.4990000000107,constant_offset,INFERRED,"stable offset -13.638s, drift -0.0010s"
VTA1B,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/S-Vta1b.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,954,953,False,41089.463,41184.763,41089.0,41184.2,94.73699999999371,0.46300000000337604,0.5630000000019209,0.5130000000026484,0.09999999999854481,1050.4201680519734,0,0.5130000000026484,95.19999999999709,variable_offset_possible_drift,INFERRED,offset moved +0.1000s over 95.2s (+1050.4 ppm)
