pair_id,session_id,dataset_family,smartphone_file,vehicle_file,smartphone_segment,vehicle_segment,smartphone_start_s,smartphone_end_s,vehicle_start_s,vehicle_end_s,overlap_start_s,overlap_end_s,overlap_duration_s,clock_offset_s,estimated_offset_s,offset_method,offset_confidence,correlation,peak_margin,drift_detected,drift_estimate_s,drift_ppm,status,note
synchronized_categorized:M,M,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,71453d0af0d3:000,23f0904d08a7:000,33209.506,43809.129,29608.4,40205.7,29608.4,40204.76150000003,10596.361500000028,3602.2675000000017,3604.3674999999726,speed_cross_correlation,high,0.953466539444486,0.3382772257277371,True,2.323000000003958,219.20677908561228,CONFIRMED_BY_SIGNAL,speed correlation 0.953 at offset 3604.37s (peak margin 0.338)
synchronized_categorized:S1,S1,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,b15d7dcaa47b:000,8e59eda9fa06:000,36469.546,41644.045,32869.0,38043.5,32869.0,38039.29950000003,5170.29950000003,3600.5455,3604.745499999969,speed_cross_correlation,high,0.9287008008207898,0.4678157220732277,False,-0.0010000000038417056,-0.19325538773634277,CONFIRMED_BY_SIGNAL,speed correlation 0.929 at offset 3604.75s (peak margin 0.468)
synchronized_categorized:S2,S2,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,5851902ce5d4:000,492b2b544356:000,43431.741,52820.349,39824.4,49211.9,39827.446000000025,49211.9,9384.453999999976,3607.8950000000004,3604.2949999999764,speed_cross_correlation,high,0.9611641807177098,0.3055331227632194,True,1.1080000000001746,118.02929427431954,CONFIRMED_BY_SIGNAL,speed correlation 0.961 at offset 3604.29s (peak margin 0.306)
synchronized_categorized:S3A,S3A,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,274a8da537e3:000,97e24d298e0c:000,69711.494,72173.494,66118.0,68580.0,66118.0,68568.70000000004,2450.7000000000407,3593.494000000006,3604.7939999999685,speed_cross_correlation,high,0.966799708743137,0.2701416035349352,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.967 at offset 3604.79s (peak margin 0.270)
synchronized_categorized:S3B,S3B,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,5b2fbe40e507:000,0de2ff37232f:000,72183.493,72869.021,68582.8,69264.0,68582.8,69264.0,681.1999999999971,3602.8569999999963,3604.3569999999677,speed_cross_correlation,high,0.8457640522625148,0.6669245118383029,True,4.327999999994063,6353.493834401176,CONFIRMED_BY_SIGNAL,speed correlation 0.846 at offset 3604.36s (peak margin 0.667)
synchronized_categorized:S3C,S3C,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,45a91123027b:000,86d8c37c03bb:000,72868.521,76586.72,69267.8,72986.0,69267.8,72981.99950000003,3714.1995000000315,3600.720499999996,3604.720499999965,speed_cross_correlation,high,0.9800230243516026,0.15411164200965144,False,-0.0009999999892897904,-0.2689473372303241,CONFIRMED_BY_SIGNAL,speed correlation 0.980 at offset 3604.72s (peak margin 0.154)
synchronized_categorized:S4,S4,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/V-S4.csv,4a3b9065b673:000,12044e2b839a:000,65775.111,75548.216,62173.4,71633.3,62173.4,71633.3,9459.900000000001,3758.3135,3758.3135,clock_difference,low,0.45252839373072423,0.05387638288006652,True,313.20499999999447,33108.70093764146,CLOCK_ONLY,signal alignment not confirmed (correlation 0.453 below 0.5 or peak not distinct); clock difference reported only
synchronized_categorized:VFA01,VFA01,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/V-Vfa01.csv,c743ad854bd5:000,e690a419193d:000,33626.236,34774.736,33622.0,34775.4,33622.85,34771.35,1148.5,1.7859999999964202,3.3859999999968693,speed_cross_correlation,high,0.9781875411600788,0.2388054406343353,True,-4.900000000001455,-4248.309346281818,CONFIRMED_BY_SIGNAL,speed correlation 0.978 at offset 3.39s (peak margin 0.239)
synchronized_categorized:VFA02,VFA02,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/V-Vfa02.csv,65348172ad4e:000,85b9631ca6a8:000,35837.649,42589.85,35829.9,42605.3,35833.8995,42586.1005,6752.201000000001,-3.8505000000041036,3.7494999999964307,speed_cross_correlation,high,0.9893786534179181,0.08549303132183206,True,-23.199000000000524,-3424.004486820043,CONFIRMED_BY_SIGNAL,speed correlation 0.989 at offset 3.75s (peak margin 0.085)
synchronized_categorized:VTA10,VTA10,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/S-Vta10.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/V-vta10.csv,a5d4d99847a8:000,2848d229f4a5:000,43310.393,43460.493,43309.9,43460.0,43309.9,43455.3,145.40000000000146,0.4929999999985739,5.192999999999067,speed_cross_correlation,high,0.9622077154114043,0.5869681496709352,False,7.275957614183426e-12,4.8474068049190515e-08,CONFIRMED_BY_SIGNAL,speed correlation 0.962 at offset 5.19s (peak margin 0.587)
