relative_path,time_column_role,time_is_absolute,time_unit,valid_timestamps,missing_timestamps,first_timestamp_s,last_timestamp_s,duration_s,duration_kind,is_monotonic,non_monotonic_count,duplicate_timestamp_count,zero_interval_count,negative_interval_count,delta_mean_s,delta_median_s,delta_std_s,delta_min_s,delta_max_s,delta_p99_s,estimated_rate_hz,rate_kind,sampling_class,coefficient_of_variation,suspected_column_misalignment,evidence,note
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,time_since_start_ms,False,s,105974,0,4.227,6175.975,6171.7480000000005,estimated,False,1,0,0,1,0.10001193711546447,0.09999999999990905,0.003968366473557808,0.0809999999999036,1.365000000000009,0.10199999999997544,10.000000000009095,exact,stable,0.03967892821610186,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,time_of_day_s,True,s,105974,0,29608.4,40205.7,10597.299999999996,estimated,False,0,1,1,0,0.10000094364549122,0.09999999999854481,0.0003072174011410303,0.0989999999947031,0.19999999999708962,0.10000000000582077,10.00000000014552,exact,stable,0.0030721450212523264,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,time_since_start_ms,False,s,51746,0,2.922,5177.421,5174.499000000001,estimated,True,0,0,0,0,0.0999999806744613,0.09999999999990905,0.0007646277014951554,0.08900000000039654,0.11099999999987631,0.10100000000056752,10.000000000009095,exact,stable,0.007646278492636063,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,time_of_day_s,True,s,51746,0,32869.0,38043.5,5174.5,estimated,True,0,0,0,0,0.1,0.09999999999854481,6.216999090860725e-06,0.0989999999947031,0.10100000000238651,0.10000000000582077,10.00000000014552,exact,stable,6.216999090860725e-05,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,time_since_start_ms,False,s,93876,0,0.011,9201.11,9201.099,estimated,False,1,291,0,1,0.10000000000000002,0.10000000000002274,0.0005868541640226512,0.08799999999973807,0.11200000000008004,0.10100000000056752,9.999999999997726,exact,stable,0.00586854164022651,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,time_of_day_s,True,s,93876,0,39824.4,49211.9,9387.5,estimated,True,0,0,0,0,0.1,0.09999999999854481,6.52762233826259e-06,0.09900000000197906,0.10100000000238651,0.10000000000582077,10.00000000014552,exact,stable,6.527622338262589e-05,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,time_since_start_ms,False,s,24621,0,31.321,2493.321,2462.0,estimated,True,0,0,0,0,0.1,0.09999999999999432,0.0007830453578772541,0.08699999999998909,0.11199999999985266,0.10100000000011278,10.000000000000568,exact,stable,0.00783045357877254,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,time_of_day_s,True,s,24621,0,66118.0,68580.0,2462.0,estimated,True,0,0,0,0,0.1,0.10000000000582077,7.128953417949148e-12,0.09999999999126885,0.10000000000582077,0.10000000000582077,9.999999999417923,exact,stable,7.128953417949147e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,time_since_start_ms,False,s,6813,0,2503.32,476.908,-2026.4120000000003,estimated,False,1,0,0,1,0.09999999999999996,0.09999999999999432,0.0007916017857307495,0.09499999999979991,0.10500000000001819,0.10100000000011278,10.000000000000568,exact,stable,0.007916017857307498,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,time_of_day_s,True,s,6813,0,68582.8,69264.0,681.1999999999971,estimated,True,0,0,0,0,0.09999999999999958,0.10000000000582077,7.129040615335608e-12,0.09999999999126885,0.10000000000582077,0.10000000000582077,9.999999999417923,exact,stable,7.129040615335639e-11,False,VERIFIED_FROM_FILE,
